input,output
Translate English to Bangla: tom has been doing that for a really long time.,টম সত্যিই দীর্ঘ সময় ধরে এটি করছে।
Translate English to Bangla: you're not the first person to tell me that.,আপনি প্রথম মানুষ নন যে আমাকে এই কথাটা বলেছে।
Translate English to Bangla: the teacher sat on the chair.,শিক্ষক চেয়ারে বসলেন।
Translate English to Bangla: was tom crying?,টম কি কাঁদছিলো?
Translate Bangla to Sylheti: দরিদ্র্র,গরিবগুরবা
Translate Bangla to Sylheti: চিৎকার,অললৈ
Translate English to Bangla: what time do you usually go to bed?,আপনি এমনিতে কটার সময় ঘুমাতে যান?
Translate Bangla to English মুর্গিটা সুস্বাদু ছিলো।,the chicken was delicious.
Translate Bangla to English শব্দের জন্য আমরা ঘুমাতে পারছি না।,we can't sleep because of the noise.
Translate Bangla to English আমি পাথর হয়ে গেছিলাম।,i was petrified.
Translate Bangla to Sylheti: এখন,এতিলকু
Translate English to Bangla: tom dances very well.,টম বেশ ভালো নাচে।
Translate Bangla to English পরিকল্পনাটি কাজ করেনি।,that plan won't work.
Translate Sylheti to Bangla: কডর মডর,খটখট
Translate Bangla to Sylheti: চিহ্ন,দাগদুম
Translate Bangla to Sylheti: কি আছে তরকারী?,কিতা আছে তরকারী?
Translate English to Bangla: i'll stand.,আমি দাঁড়াবো।
Translate English to Bangla: the virus is spreading rapidly.,ভাইরাসটি দ্রুত ছড়িয়ে পড়ছে।
Translate Sylheti to Bangla: তুকাউকা,খুঁজুন
Translate Sylheti to Bangla: গুমা,রাগ
Translate Bangla to English আমি আমার টিকিটটি নিশ্চিত করতে চাই।,i'd like to confirm my ticket.
Translate English to Bangla: can i ask you something?,আমি কি আপনাকে কিছু জিজ্ঞেস করতে পারি?
Translate Sylheti to Bangla: ইতো দেখা যায় আমার বাফ মার লাখান আচরন খরেন আফনে,এটা তো দেখা যাচ্ছে আপনি আমার বাবা মায়ের মতো আচরণ করছেন
Translate Sylheti to Bangla: আতা্নো,হাত দিয়ে মাছ ধরা
Translate English to Bangla: she walks.,তিনি হাঁটেন।
Translate Sylheti to Bangla: তাই,সে (মহিলা)
Translate Bangla to Sylheti: মান্য,গরবিতা
Translate Sylheti to Bangla: আড়পথে,বাঁকাপথে
Translate English to Bangla: i'm a student.,আমি একজন ছাত্রী।
Translate Sylheti to Bangla: কমযরফ,ছোটলোক
Translate Bangla to Sylheti: ক্ষ্যাপা,উতুমবুতুম
Translate Bangla to English এতক্ষণে তার কাজ শেষ করা উচিত ছিল।,he should have finished his work by now.
Translate Bangla to English টম তার মাথা নাড়লো।,tom nodded his head.
Translate English to Bangla: are you certain that you locked the door?,আপনি কি নিশ্চিত যে দরজায় তালা লাগিয়েছেন?
Translate Bangla to English আমি বেকারিতে গেলাম।,i went to the bakery.
Translate Sylheti to Bangla: পুয়া,ছেলে
Translate English to Bangla: can you speak french?,তোমরা কি ফরাসি ভাষা বলতে পারো?
Translate English to Bangla: tom wants to speak with you.,টম তোমার সাথে কথা বলতে চায়।
Translate Bangla to English আমার এখুনি তোমার সাথে কথা বলা দরকার।,i need to speak with you right away.
Translate Sylheti to Bangla: মানিন্দও,সম্মানীত
Translate Sylheti to Bangla: একরে,একেবারে
Translate Bangla to Sylheti: তাহলে,তেপি
Translate English to Bangla: tom kept coughing.,টম কেশেই যাচ্ছিলো।
Translate English to Bangla: times have changed.,সময় বদলে গেছে।
Translate Bangla to English আগামী সোমবারে আমায় বোস্টনে যেতে হবে।,i need to be in boston next monday.
Translate Bangla to English আমার ১৯ বছর বয়স।,i'm 19.
Translate English to Bangla: those who want to stay can stay.,যারা থাকতে চায় থাকতে পারে।
Translate Bangla to Sylheti: কার জন্য পাগল হয়েছে এই মহিলা,খার লাগি ফাগল অইছে বেটি ইগু
Translate Bangla to English টম এখন সবকিছুই জানে।,tom now knows everything.
Translate Sylheti to Bangla: এখবার যদি খাইন ফেট ভরি ভাত খাইতো ফারবা,"একবার যদি খাও, পেট ভরে ভাত খেতে বাধ্য হবে"
Translate Bangla to English সৈন্যরা গ্রামটাকে ঘিরে ফেললো।,the soldiers surrounded the village.
Translate English to Bangla: it is often said that sweets are bad for your teeth.,এটা প্রায়ই বলা হয় যে মিষ্টি আপনার দাঁতের জন্য ক্ষতিকর।
Translate Sylheti to Bangla: আফনারা কিতা চাইন কইনছে আমারে,আপনারা কী চান বলুন তো আমাকে
Translate Bangla to English গাস না।,don't sing.
Translate Bangla to English যাওয়া যাক!,let's go!
Translate Bangla to Sylheti: অনেকদিন,কত আমল
Translate Bangla to English উনি ফল ছাড়া আর কিছুই খান না।,he eats nothing but fruit.
Translate Bangla to English আমার ভাল লাগছে।,i feel good.
"Translate Bangla to English তাদের মধ্যে কেউ কেউ শিক্ষক, আর কেউ কেউ ইঞ্জিনিয়ার।","some of them are teachers, and some are engineers."
Translate Bangla to Sylheti: ধনসম্পদ,ধন ছামান
Translate English to Bangla: tom likes tigers.,টম বাঘ পছন্দ করে।
Translate Bangla to English আগামীকাল লাইব্রেরিতে দেখা হবে।,see you tomorrow at the library.
Translate Bangla to Sylheti: এখন,অংকা
Translate English to Bangla: who did you buy this car for?,আপনি এই গাড়িটি কার জন্য কিনেছেন?
Translate Bangla to English চিৎকার করা বন্ধ করো।,stop screaming.
Translate Bangla to English স্কুল পরের সপ্তাহে খুলবে।,school starts next week.
Translate English to Bangla: i'm very afraid of snakes.,আমি সাপকে খুব ভয় পাই।
Translate Sylheti to Bangla: ইতা কিতা কইলাইন,এটা কী বললেন
"Translate English to Bangla: take off your socks, please.",অনুগ্রহ করে মোজাটা খুলবেন।
Translate Sylheti to Bangla: দি,দিয়ে
Translate Bangla to English আমার শুকনো কাশি হয়েছে।,i have a dry cough.
Translate Bangla to Sylheti: আমার জমি থাকবে,আমার খেত অইবো
Translate Sylheti to Bangla: কইলাউকা,বলে ফেলুন
Translate English to Bangla: this is the only alternative.,এটাই একমাত্র বিকল্প।
Translate Sylheti to Bangla: আমি লন্ডনে এখটা মাল্টিনেশনাল কম্পানির মেনেজার,আমি লন্ডনে একটি মাল্টিন্যাশনাল কোম্পানির ম্যানেজার
Translate Bangla to English আমার মালপত্রটা একটু দেখবেন?,will you look after my baggage?
Translate Sylheti to Bangla: খানাখানি বাদ দেও,ঝগড়া করা বাদ দাও
Translate Bangla to Sylheti: এদিক সেদিক,এমনে হেমনে
Translate Sylheti to Bangla: আদোরিদ,প্রচুর
Translate Bangla to English একটা ভুল বোঝাবুঝি হয়েছে।,it's a misunderstanding.
Translate English to Bangla: the servants' screams awakened everyone.,চাকরগুলোর চিৎকার সবাইকে জাগিয়ে দিলো।
Translate Sylheti to Bangla: টেপ দেওয়া,সম্মতি দেওয়া
Translate Sylheti to Bangla: কিমাইরত,কি তত্ত্ব
Translate Bangla to English কেউ তাকে সাহায্য করেনি।,nobody helped her.
Translate English to Bangla: the japanese take off their shoes when they enter a house.,জাপানিরা বাড়িতে প্রবেশের সময় জুতা খুলে প্রবেশ করে।
Translate Bangla to English এবার মন দিয়ে শোনো।,now listen carefully.
Translate Bangla to Sylheti: ধীরে ধীরে,ঘইয়া ঘইয়া
Translate Bangla to Sylheti: সাধু সন্ন্যাসী,ইকপির
Translate Bangla to Sylheti: গাছের পাতারা যখন দুলতে দুলতে বাজে,গাছর পাতারা যেলা দুলতে দুলতে মাতে
Translate Sylheti to Bangla: কুনুছুরত,কোনমতে
Translate Bangla to English টম আপনার সাথে কথা বলতে চায়।,tom wants to speak with you.
Translate English to Bangla: tom will be here soon.,টম এখানে খুব শিঘ্রই আসছে।
Translate English to Bangla: i'll be back later.,আমি পরে ফিরে আসবো।
Translate Sylheti to Bangla: গিরি,পর্বত
Translate English to Bangla: talk to your teacher about that.,তোমার শিক্ষকের সাথে এটা নিয়ে কথা বলো।
Translate Bangla to English মেরি একটি বিকিনি পরে আছে।,mary is wearing a bikini.
Translate Bangla to English টম বাইরে।,tom is outside.
Translate English to Bangla: tom's an irritating person to work with because he'll never admit it when he's made a mistake.,টমের সঙ্গে কাজ করা খুব বিরক্তিকর কারণ ও কখনই মেনে নেয় না যে ও ভুল করেছে।
Translate Bangla to English তিনি সন্ধ্যেবেলা বই পরে কাটান।,he spent the evening reading a book.
Translate Sylheti to Bangla: আখি,"গিঁট, আঁকশি"
Translate Sylheti to Bangla: আরান বা্রানে,অতি কষ্টে
Translate English to Bangla: eat whatever you like.,আপনার যা পছন্দ হয় তাই খান।
Translate Sylheti to Bangla: নটি,দুশ্চরিত্রা
Translate Bangla to Sylheti: সম্মানীত,মানিন্দও
Translate Bangla to Sylheti: কোমর,কাকাল
Translate Sylheti to Bangla: আলিতপরা,অভাবে পড়া
Translate Sylheti to Bangla: করা করা,কঠিন সুরে বলা
Translate Sylheti to Bangla: আফনারা কি ফুরি বিয়া দিয়া আমারে দামান বানাইতে চাইন,আপনারা কি মেয়ে বিয়ে দিয়ে আমাকে জামাই বানাতে চান
Translate Bangla to Sylheti: যখন স্বপ্নের ঘোরে পাখি উড়ে যায়,যেলা স্বপ্নর ঘোরে উঠ পাখি উড়ে
Translate Sylheti to Bangla: কাউয়ানি,কাশি
Translate English to Bangla: tom was crying last night.,টম গত রাতে কাঁদছিলো।
Translate English to Bangla: i don't like to go outside when it's raining.,বৃষ্টির সময় আমি বাইরে যাওয়া পছন্দ করি না।
Translate English to Bangla: my joints ache.,আমার গাঁটগুলো ব্যাথা করছে।
Translate Bangla to Sylheti: তখন,তখনকু
Translate Sylheti to Bangla: চেরাচেপটা,বিশৃঙ্খলা
Translate Bangla to English আমি আমার পাসপোর্ট হারিয়ে ফেলেছি।,i've lost my passport.
Translate English to Bangla: speak more slowly.,আরো আস্তে কথা বলুন।
Translate Bangla to Sylheti: কথা বলবেন,কাড়িবা রাও
Translate English to Bangla: have you ever done that?,তুমি কখনো ওটা করেছো?
Translate English to Bangla: don't yell.,চিৎকার করবেন না!
Translate Sylheti to Bangla: হুনলাম বেটা তর ফুরি বড় অই গেছ,"শুনলাম, তোর মেয়ে বড় হয়ে গেছে"
Translate Sylheti to Bangla: উছরা,বারান্দা
Translate Bangla to Sylheti: অনর্থক গর্ব করে যে,আইসটান
Translate Sylheti to Bangla: দুলোভর,আদরের
Translate Bangla to Sylheti: অশিক্ষিত,উনদা্গানদা
Translate Sylheti to Bangla: কীতা তাকি কীতা খররাম ঠিক ঠিকানা নাই,কি থেকে কি করবো তার কোনো ঠিক ঠিকানা নেই
Translate Sylheti to Bangla: আলমানো,অনুমানে
Translate Bangla to English তাঁরা চিৎকার করলেন।,they yelled.
Translate Bangla to English আমি জানতাম টম বোস্টন থেকে এসেছে।,i knew tom was from boston.
Translate Sylheti to Bangla: আইতনা,রন্ধনশালার বাসন রাখার উঁচু স্থান
Translate Sylheti to Bangla: জামির,লেবু
Translate Bangla to Sylheti: ডানকান মাছ,দাড়কিনা
Translate Sylheti to Bangla: থাসা,নির্ঘাত
Translate Bangla to English সবাই খুশি ছিলো।,everyone was happy.
Translate Sylheti to Bangla: ছলি,উত্তেজনা
Translate Bangla to English পুলিশ সূত্রের জন্য টমের অ্যাপার্টমেন্টে তল্লাশি চালায়।,the police searched tom's apartment for clues.
Translate English to Bangla: they yelled.,ওরা চিৎকার করলো।
Translate Sylheti to Bangla: একজরাত,সামান্যতে
Translate Sylheti to Bangla: আচ্ছা ভাই তে যাই এখন,ওকে ভাই তাহলে এখন আসি
Translate Bangla to Sylheti: বলার সাথে সাথেই শিখে যাবে,কউয়ার লগে লগেই ইকিলাইরাই
Translate Bangla to English সেটা কেন ঘটেছে তা আমি আপনাকে বলতে পারব না।,i can't tell you why that happened.
Translate English to Bangla: the balloon will burst.,বেলুনটা ফেটে যাবে।
Translate Bangla to Sylheti: গৃহিণীপনা,গিরতাইন আনা
Translate Sylheti to Bangla: জড়ি দুককা,শিকড় দুই গাছা
Translate Bangla to English আমি নদীটা সাঁতরে পার হওয়ার চেষ্টা করলাম।,i tried to swim across the river.
Translate English to Bangla: i'm inside.,আমি ভেতরে আছি।
Translate Bangla to English টম তার জামা পরেই ঘুমিয়েছে।,tom slept in his clothes.
Translate Bangla to English আমাকে বলেন কি চান।,tell me what you want.
Translate English to Bangla: tom hesitated.,টম ইতস্তত করলো।
Translate Bangla to Sylheti: কোথা থেকে এই ফুল আমাদের বাড়ির চারপাশে ফুটে,কই থাকি ই ফুল আমরা বাড়ির চাইরোবায় ফুটে
Translate Bangla to Sylheti: তালাকপ্রাপ্ত,এড়া
Translate Sylheti to Bangla: উপরালা,আল্লাহ
Translate English to Bangla: i must've lost my key along the way.,আমি নিশ্চই আমার চাবিটা রাস্তায় হারিয়ে ফেলেছি।
Translate English to Bangla: where did tom tell you he was going?,টম কোথায় যাচ্ছে বলে বলেছে তোমায়?
Translate Bangla to English আমি হারিয়ে গেছি।,i'm lost.
Translate Bangla to English আমরা ডিম খেয়েছি।,we ate eggs.
Translate English to Bangla: tom hardly ever keeps his word.,টম খুব কমই ওনার কথা রাখেন।
Translate Sylheti to Bangla: এরুতা,কম
Translate Sylheti to Bangla: এললত,দোষ
Translate Sylheti to Bangla: দলান,দালান
Translate Bangla to Sylheti: শত্রুতা,ইরালি
Translate Bangla to English সবাই কোথায়?,where's everyone?
Translate English to Bangla: tom came.,টম এলো।
Translate Bangla to Sylheti: আমার তো নেশা লন্ডন যাওয়ার,আমার তো নেশা লন্ডন যাইতাম
Translate Bangla to English আমাদেরকে খুব তাড়াতাড়ি চলতে হবে।,we have to move very quickly.
Translate Sylheti to Bangla: খুচ,কুঞ্চিত কিঞ্চিত ভাঁজ
Translate Bangla to Sylheti: এটাওটা,ইতাহিতা
Translate Sylheti to Bangla: কুন্দাবারা,ধান ভানা
Translate English to Bangla: he is eating.,সে খাচ্ছে।
Translate Sylheti to Bangla: আটপড়ি,আটপৌরে
Translate Bangla to Sylheti: দিবে,দিবায়
Translate Bangla to Sylheti: লাউ,কদু
Translate Bangla to English টম আপনার সাথে যেতে পারেনি কেন?,why couldn't tom go with you?
Translate Sylheti to Bangla: দিবায়,দিবে
Translate Sylheti to Bangla: তোমার ছবি আয়নাত দেখি,তোমার ছবি আয়নায় দেখি
Translate Bangla to English তুমি কে একদিনের ছুটি নিতে পারবে?,can you get a day off?
"Translate Bangla to Sylheti: যাচ্ছেতাই,বাজে",আদুমচুদুম
Translate Bangla to Sylheti: চুলকানি,খচ্চরি
Translate English to Bangla: the two countries negotiated a treaty.,দেশ দুটি নিজেদের মধ্যে একটি চুক্তি সম্পাদিত করলো।
Translate Sylheti to Bangla: আরান বারান,দুঃখ কষ্ট
Translate Bangla to Sylheti: বিদ্যুৎ চমকানো,জিলকি
Translate Bangla to Sylheti: ঘরে যেতে দেরি হয়েছে তাও কিছু খেলি না,ঘর যাইতে দেরি হইলো তুন্নো কিছু খাস নাই
Translate Bangla to English জোরে বল!,speak up!
Translate Sylheti to Bangla: আত,"হাত,হস্ত,পিত্তথলি"
Translate Bangla to Sylheti: গৃহ বাস,গিরোবাস
Translate Bangla to Sylheti: একদিকে,একবায়দি
Translate Sylheti to Bangla: জিয়াখান খাটিল,ঠোঁট বন্ধ করল
Translate Bangla to Sylheti: ঢিল,তুক্কা
Translate Bangla to English টমকে ডাকুন।,get tom.
Translate Sylheti to Bangla: আযুলি,হাবা মেয়ে
Translate Bangla to Sylheti: কোনো কষ্ট হয়নি,কুনু কষ্ট অইছেনা
Translate Bangla to Sylheti: দুর্ভাগ্য,গরদিশ
Translate Sylheti to Bangla: গিরিপ্তার,গ্রেফতার
Translate Bangla to English আমার ঠান্ডা লেগে গেছে।,i've caught a cold.
Translate English to Bangla: my mother is out.,আমার মা বাইরে।
Translate Bangla to Sylheti: ভিক্ষুক,মাউগরা
Translate Bangla to English কথা বলবেন না।,don't speak.
Translate Sylheti to Bangla: আমার পাও নাই,আমার পা নেই
Translate Sylheti to Bangla: ইগুতো নরমাল রেট,এটা নরমাল ভাড়া
Translate Bangla to Sylheti: একদিন তোমাদের জায়গা হবে পচা নর্দমার গর্তে,একদিন তোমরার জাগা অইব পঁচা উঁনরর গাতো
Translate Bangla to English তুমি বলতে পারো যে তুমি আমাকে ভালোবাসো।,you could say that you love me.
Translate Sylheti to Bangla: একপা্ল,একদল
Translate English to Bangla: stop yelling.,চেঁচানো বন্ধ করো।
Translate Bangla to English আপনার যেটা ইচ্ছে হয় সেটা খেতে পারেন।,you can eat anything you want.
Translate Sylheti to Bangla: ভইস,মহিষ
Translate English to Bangla: where's everyone?,সবাই কোথায়?
Translate Bangla to English আমি এইমাত্র টমের কাছ থেকে একটি বার্তা পেয়েছি।,i just received a message from tom.
Translate Sylheti to Bangla: কলতায় মারা,পক্ষাঘাতে মরা
Translate Bangla to Sylheti: না খাওয়া অবস্থা,উনাউপাস
Translate Bangla to English আপনি কার কাছ থেকে পালাচ্ছেন?,who are you running from?
Translate English to Bangla: stand up.,দাঁড়াও।
Translate Sylheti to Bangla: চুনচুন,চূর্ণ-বিচূর্ণ
Translate English to Bangla: tom is dreadfully wrong.,টম মারাত্মক ভাবে ভূল।
Translate Bangla to Sylheti: কাঠবিড়ালি,ককা
Translate Bangla to Sylheti: দুষ্টু,আখআখি
Translate Bangla to Sylheti: থাকেন,থাকইন
Translate Sylheti to Bangla: কাউকরা,গুল্ম জাতীয় উদ্ভিদ
Translate English to Bangla: does the room have air conditioning?,এই ঘরে এসি আছে?
Translate Bangla to Sylheti: নিষ্কর্মা,চেটা
"Translate Bangla to Sylheti: চা আমি জ্বাল দিয়েছি, তাই মজাদার হয়েছে",চা আমি জাল দিসি এর লাগি মজা অইছে
Translate English to Bangla: bring it closer.,ওটাকে কাছে নিয়ে আসো।
Translate Bangla to Sylheti: সময় গত হচ্ছে,গয়ের কাল
Translate Bangla to English আপনি কোথায় থেকেছিলেন?,where did you stay?
Translate Bangla to English আপনি এমনিতে লাঞ্চ কটার সময় করেন?,what time do you usually eat lunch?
Translate English to Bangla: i'm not proud of this.,আমি এটায় গর্বিত নই।
Translate Bangla to Sylheti: গর্ত,গাতা
Translate English to Bangla: we can't blame anyone else.,আমরা অন্য কাউকে দোষারোপ করতে পারি না।
Translate Bangla to English উনি ফল ছাড়া অন্য কিছু খান না।,he doesn't eat anything other than fruit.
Translate Bangla to Sylheti: ইহলোক,এজান
Translate Sylheti to Bangla: অরানরী,অরান্ধুনি
Translate Bangla to Sylheti: যে যুক্তির ধার ধারেনা,একবোলা
Translate English to Bangla: are we done?,আমাদের কি হয়ে গেছে?
Translate Sylheti to Bangla: দুইপরি,দুপুর
Translate English to Bangla: can you keep an eye on tom?,তুমি কি টমের উপর নজর রাখতে পারবে?
Translate Bangla to English আমি চিৎকার করিনি।,i didn't scream.
Translate English to Bangla: what have you brought?,তুমি কী এনেছো?
Translate English to Bangla: give tom a kiss.,টমকে একটা চুমু দাও।
Translate Bangla to English ডাক্তার বুলেট অপসারণ করেছে।,doctors removed the bullet.
Translate English to Bangla: i'll come along.,আমি সঙ্গে সঙ্গে যাবো।
Translate Sylheti to Bangla: হিয়াল,শেয়াল
Translate Bangla to English টম কথা বলতে শুরু করলো,tom resumed speaking.
Translate Sylheti to Bangla: গামাউছি,ঘামাচি
Translate Sylheti to Bangla: আমি ফ্রসেস এর কতা বইলছি,আমি প্রসেসের কথা বলছি
Translate Bangla to Sylheti: এসব কি বলেন আপনার বাড়িতে এসেছি,ইতা খিতা কইন আফনার বাড়িত আইচ্চি
Translate Bangla to Sylheti: কাছে,কাঞ্চাত
Translate Bangla to English আপনারা আসতে পারবেন না কেন?,why can't you come?
Translate English to Bangla: why weren't you in class yesterday?,তুমি গতকাল ক্লাসে ছিলে না কেন?
Translate Sylheti to Bangla: আইর বাইর,বুদ্ধি
Translate Sylheti to Bangla: ইবলা,এখান
Translate Sylheti to Bangla: চুননু,ছোট
Translate Sylheti to Bangla: মানুনি,মানুষ কি
Translate Bangla to Sylheti: এই হলো বরিশাল,ও ওইলো বরিশাল
Translate English to Bangla: tom is my youngest brother.,টম আমার ভাইদের মাঝে সবচেইয়ে ছোট।
Translate English to Bangla: i was interviewed for a job.,চাকুরিটির জন্য আমার সাক্ষাৎকার নেওয়া হয়েছিল।
Translate Bangla to English বেশিরভাগ জাপানীরাই প্রত্যেকদিন ভাত খায়।,most japanese eat rice every day.
Translate Sylheti to Bangla: আজাইয়া,"বন্ধ কর,ভিড়িয়া রাখা"
Translate Bangla to English আমাদের গ্যাস ফুরিয়ে গেছে।,we have run out of gas.
Translate Bangla to Sylheti: ভিতরে চলো,বিত্রে চলো
Translate English to Bangla: a little knowledge is a dangerous thing.,অল্পবিদ্যা ভয়ংকরী।
Translate Bangla to Sylheti: আসুন,আইন
Translate Sylheti to Bangla: এখটা ঝাটা যে দিছুইন এইটা কি আমার লাইগা দিছুইন,একটা ঝাড়ি দিয়েছেন যে এটা কি আমার জন্য দিয়েছেন
Translate English to Bangla: i don't blame you.,আমি আপনাকে দোষ দিচ্ছি না।
Translate English to Bangla: i'm yours.,আমি তোর।
Translate Bangla to English একজন বৃদ্ধা আমাকে গান গেয়ে শোনালেন।,an old lady sang to me.
Translate Bangla to English তুমি কী এনেছো?,what have you brought?
Translate Bangla to English আমার মা সঙ্গীত ভালবাসে।,my mother loves music.
Translate English to Bangla: i had some things to do.,আমার কিছু কাজ করার ছিল।
Translate Sylheti to Bangla: করোট ফিরাই,পাশ ফিরে
Translate Sylheti to Bangla: চালি,বাঁশের ভেলা
Translate English to Bangla: tom is outside.,টম বাইরে আছে।
Translate English to Bangla: nothing happened.,কিছুই হয় নি।
Translate Bangla to English প্রত্যেক শিক্ষার্থীই ড্রাইভিং পরীক্ষায় উত্তীর্ণ হয়েছে।,every student passed the driving test.
"Translate Bangla to English টম, আমি এখানে একটু ব্যস্ত আছি।","i'm a little busy here, tom."
Translate Bangla to English ওনার দুটো মেয়ে আছে।,he has two daughters.
Translate Sylheti to Bangla: টেংঝেং,দুর্ব্যবহার
Translate Bangla to English আমি চেঁচাতে যাচ্ছি।,i'm going to scream.
Translate Bangla to Sylheti: এখন,আবলা
Translate Bangla to Sylheti: উৎপাত,আতালবাতাল
Translate Bangla to Sylheti: সিলেটর মানুষের মনে যত মায়া মহব্বত আছে বুঝছেন নাকি,সিলেটর মাইনষে মন যেতা মায়া মহব্বত আছে বুঝছইন নি
Translate Bangla to Sylheti: লন্ডনে যাওয়ার গল্প শুনেছেন,লন্ডনে যাউয়ার গইল্প শুইনছেন
Translate English to Bangla: i saw tom last night.,আমি কাল রাতে টমকে দেখেছিলাম।
Translate Bangla to English আমি এখানে দশটা অবধি থাকবো।,i'll stay here until ten.
Translate English to Bangla: i accepted her invitation.,আমি ওনার আমন্ত্রণ গ্রহণ করলাম।
Translate English to Bangla: nobody is indispensable.,কেউই অপরিহার্য নয়।
Translate Bangla to Sylheti: জানালা নেই,জানলা নাই
Translate English to Bangla: tom eats very quickly.,টম খুব তারাতারি খায়।
Translate English to Bangla: we won.,আমরা জিতে গেছে।
Translate Bangla to Sylheti: বাঁঁশের তৈরি মাছ রাখার পাত্র,খলই
Translate Bangla to English আজকে আপনি কী রান্না করতে চান?,what do you want to cook today?
Translate English to Bangla: the child's face glowed when he saw santa claus.,সান্তা ক্লজকে দেখে শিশুটির মুখ উজ্জ্বল হয়ে উঠল।
Translate Sylheti to Bangla: মাটির চাকা,মাটির চাকতি
Translate Bangla to Sylheti: চণ্ডাল,চং
Translate Bangla to Sylheti: তোমার হাত থেকে কষ্ট পেলে,তুমার আত থাকি কুন্তা খাইলে
Translate English to Bangla: we're still working.,আমরা এখনও কাজ করছি।
Translate Bangla to Sylheti: বোকাামি,চেবেললামি
Translate Bangla to English আজ আবহাওয়া ঝোড়ো আছে।,it's windy today.
Translate Bangla to Sylheti: অবুঝ,তিফিল
Translate Bangla to Sylheti: পেঁয়াজ নিয়ে কদিন আগে কী না করলে!,পিঁয়াজ লইয়া কদিন আগে কিতা না করলায়!
Translate Bangla to Sylheti: পুরুষ লোকের,মুনি মানষর
Translate Bangla to English আমি দুই ঘন্টার মধ্যে ফিরে আসবো।,i'll be back in two hours.
"Translate Sylheti to Bangla: হুটখির বরতা,হাগ,খসু আরো বিবিন্ন জাতের জিনিস আছে","শুটকির ভর্তা, শাক, কচু এবং আরও বিভিন্ন ধরনের খাবার আছে"
Translate Sylheti to Bangla: ছাপর,নিচু
Translate Bangla to Sylheti: সৃষ্টি,পয়দা
Translate Sylheti to Bangla: উগলানো,বমি করা
Translate Sylheti to Bangla: টগরাত,বেড়ানোতে
Translate Bangla to Sylheti: অমৃত সাগর,অঘোইসাগ
Translate Bangla to English আস্থা রাখুন।,have faith.
Translate Bangla to Sylheti: চিৎকার,ঘুংগইর
Translate Bangla to English আমাদের সাহায্য কর।,help us.
Translate Bangla to English আমি বাড়িয়ে বললাম।,i exaggerated.
Translate Bangla to English উনি আসতে পারেন।,he can come.
Translate Bangla to English চাকুরিটির জন্য আমার সাক্ষাৎকার নেওয়া হয়েছিল।,i was interviewed for a job.
Translate Sylheti to Bangla: কাটুয়া,কৃপণ
Translate Sylheti to Bangla: উনদা,অবনত
Translate Bangla to English ওটা আমার বোন।,that's my sister.
"Translate Sylheti to Bangla: ইতা কিজাত মাত মাতলায়,ইতা কিজাত মাত?","এসব কী ধরনের কথা বলছ, এসব কী কথা?"
Translate English to Bangla: they were all happy.,তারা সবাই সুখী ছিলো।
Translate Bangla to Sylheti: অস্ত্র,অছরো
Translate Bangla to English আমি ভেবেছিলাম আপনি কানাডিয়ান।,i thought you were a canadian.
Translate English to Bangla: where's the newspaper?,খবরের কাগজটি কোথায়?
Translate Bangla to Sylheti: একমাত্র ছেলে,এরুনি লখাই
Translate Bangla to English তিনি কথা বলছিলেন।,he was speaking.
Translate Sylheti to Bangla: আওইসায় পয়দা,"মিথ্যাবাদী, বেজন্মা"
