sylheti,bangla
অতুগুনি,ছোট
অথঅতি,হাতাহাতি
অদ,অংশ
অদরকারি,নিষ্প্রয়োজন
অদারু,বিনা ঔষধ
অধরা,ধরার বাহিরে
অধুয়া,সীমান্ত রক্ষাকারী
অধো,সীমায়
অধোপতি,"নষ্ট,কুপথে যাওয়া"
অনকু,এখন
অনতনে,এখান থেকে
অনতলস,অস্বস্তি
অন্ধলায়,অন্ধজন
অনচিলা,অপরিচিত
অনবোলা,যার ভাষা নাই
অনিল,জনহীন
অনিশটি,অনিষ্ট
অনে,এখন
অনেকুনি,বর্তমানে কি
অনো,এখানে
অনোউবা,এখানে দাঁড়া
অনোকুটি,অন্যান্য
অন্না,এক ধরনের বেত
অন্যমুখা,অন্যদিকে
অনজাম,"আঞ্জাম, আয়োজন"
অনুগরো,অনুগ্রহ
অপডন্ড মরা,অপমৃত্যু
অপমানি,অপমান
অপরা,অপয়া
অপরোক্ষ,অগোচরে
অপসর,অবসর
অপেলা,"অবহেলা,উপেক্ষা"
অপিয়াম,তৃপ্ত
অফট,"গুজব,জনরব"
অবতব,মৌখিক সহানুভূতি প্রকাশ
অবযশ,কষ্ট
অবলাউ,এখনই
অবায়,এদিকে
অবায় তো হবায়,এদিক থেকে সেদিক
অবায়দি,এই দিকে
অবেদ,"আশ্চর্য,অবাক"
অমুখা,এদিকে
অমদি,এদিকে
অমবিল,দীর্ঘস্থায়ী
অমতেদি,এদিকে
অমনে,"এভাবে,ওভাবে"
অমনেদি,এদিকে
অমানষি,অমানুষি
অমস্যাগ,অমৃত সাগর
অমুছইর,দুষ্প্রাপ্য
অমুরাত,"ঐদিকে, এই বাঁকে"
অমলা,"এভাবে,এরকম"
অমলাউ,"এমন,এরূপ"
অম্মুখা,এদিকে
অয়,"হ্যা,হয়"
অয়অ,হ্যাঁ
অয় অয়,"হ্যাঁ,হ্যাঁ"
অয়রান,হয়রান বাধা-বিপত্তিহীন
অযবুত,কাণ্ডজ্ঞানহীন
অযা,বদলানো
অযানি,"রদবদল,অজ্ঞাত"
অযানিবে,অজ্ঞাতে
অযিরান,কৃমি
অরতকি,হরিতকি
অরইন্যা চোখী,হরিণচোখী
অরনা,বন্য
অরফ,"পাত্তা,ঠিকানা,পাত্র"
অরহি,"পেয়ারা,সবরী"
অরাইলে,সরাইলে
অরানরী,অরান্ধুনি
অরি,"শত্রু,হরি"
অরিকল,হারিকেন
অরিন,হরিণ
অরিশবেমার,অর্শ্বরোগ
অরেবো,"ওহে,অহে,ওগো"
অরৈ,"এইটুকু,মাত্র"
ওরৈতা,"এইটুকু,মাত্র"
অলঅলি,"ঢলিয়া ঢলিয়া পড়ে,ঢলো ঢলো"
অলইদ,হলুদ
অলকম,হলকুম
অলদি মাখান,গায়ে হলুদ
অললুপ,নিখোঁজ
অললুম,আন্দাজ
অললৈ,চিৎকার
অলা,"এইরকম,এইভাবে"
অলান,এইরকম
অলগর্দা,"ঢোরাসাপ,নিষ্কর্মা"
অলমি,"জন্ডিস,পান্ডুরোগ"
অশুশার,"অসুবিধা,অযোগার"
অশকানি,"ঢিলা হওয়া,হটিয়া যাওয়া"
অশকিয়া,ঢিলা হয়ে
অসকালে,অসময়ে
অসতবিসত,তাড়াহুড়ো করা
অসতে,"আস্তে,নীরবে"
অসতুরা,ক্ষুর
অসু,বাঁশের বেতের তৈরি মাছ ধরার ফাঁদ
অসুকা,নতুন
অসুদ,ঔষধ
অড়কি,হুরকা
অংকার,"অহংকার,দেমাগ"
অংকা,এখন
অংকু,এখন
অংশং,গোলমাল
আই,"হংসী, হাঁস (স্ত্রী), আসি"
আইখ্যা,"গিরা,গ্রন্থি"
আইখ্যাউলি,গিরাওয়ালা
আইওম,"মৌসুম,আমল,সময়"
আইচ্ছা,আচ্ছা
আইছ,"এসো, এসেছো"
আইছইন,এসেছেন
আইছত,এসেছো
আইছইননি,এসেছেন
আইছনি,এসেছো
আইছলা,এসেছিলেন
আইছলায়নি,এসেছিলে নাকি
আইছে,এসেছে
আইছি,এসেছি
আইজ,আজ
আইজও,আজও
আইজকু,আজকে
আইজগু,আজকে
আইঞ্জন,মান
আইট,"অভিমান, গোসসা"
আইটা উইটা,উচ্ছিষ্ট
আইট্টা কলা,বিচি কলা
আইটা বাউটা,"অজ্ঞাত, কুলশীল"
আইটি,"কৃপণ, বখিল"
আইতনা,রন্ধনশালার বাসন রাখার উঁচু স্থান
আইতরা,আসছেন
আইতানানি,আসবেননা
অইদদে,আগে
আইন,আসুন
আইনঘর,বারান্দা ছাড়া ঘরের ভিতরের অংশ
আইনছি,এনেছি
আইনজা,জড়িয়ে ধরা
আইনতাষা,টাটকা
আইনদা,"ঋতু,সময়"
আইননা,"আসুননা, আসেননা"
আইনাল,"নিয়মমত, আইনানুযায়ী"
আইব,দোষ
আইবাই,যার কথার ঠিক নাই
আইব বাইব,বুদ্ধি
আইবায়নি,আসবেে নাকি
আইম তোলা,হাই তোলা
আইম্মানি,আলস্যজনিত হাই
আইমটান,অনর্থক গর্ব করা
আইমন,"আমিন, আমলা"
আইমু,আসবো
আইমুশা,দীর্ঘ নিঃশ্বাস
আই যাওয়া,"শুকিয়ে যাওয়া, নিভে যাওয়া"
আইর বাইর,বুদ্ধি
আইরাম,আসছি/ আসতেছি
আইল,"রেখা, জমির আল"
আইল আটক,"লজ্জা, সংকোচ"
আইলকা,কলা গাছের ভেতরের সরু অংশ
আইলসাকুর,অলস লোক
আইলা,আসলেন/ আসিলেন
আইললাসিবা,হাল চাষে যে দড়ি দিয়ে গরু চরানো হয়
আইল্যা,অলস লোক
আইসটান,অনর্থক গর্ব করে যে
আইসলা,মাছের আঁশ
আইয়া,"এসে, হেসে"
আইয়া আইয়া,"হেসে, হেসে"
আইয়ো,এসো
আউক,আসুক
আউকশা,"পর্দা, আড়াল"
আউকা,আসুন
আউকাল,"চিৎকার, চেঁচামেচি, গন্ডগোল,ঝামেলা"
আউকালি,"বিশৃঙ্খলা, ঝগড়া"
আউখ করে,"হা করে, চিৎকার করে"
আউখি,"ঝঞ্ঝা, ঝড়"
আউগলায়,আড়ালে
আউগলিয়া,আটকিয়ে
আউগাইয়া,অগ্রসর হয়ে
আউগাছ,অগ্রসর
আউচি,"বাদল, আষাঢ় বা আশ্বিন মাসের অবিরাম বৃষ্টি"
আউটা,বারান্দার বেড়া
আউটা বেড়া,পর্দার বেড়া
আউত,পলিমাটি
আউতরা,হাতুড়ি
আউতি,সশব্দ
আ-উথ,হুংকার
আউরি দেওয়া,গোপন হওয়া/করা
আউল ঝাউল,এলোপাতাড়ি
আউলমেল,ঝামেলা পাকানো
আউলা,এলোমেলো
আউলানি,এলোমেলো
আউলাইবো,এলোমেলো করবে
আউয়া,"বোকা, অবোধ,আগন্তুক"
আউয়া যাওয়া,"বোকা, অবোধ"
আউয়ানো,চিৎকার করে কাঁদা
আউরন পাউরন,বিস্মৃতি
আউরদাতা,অবাধ্য
আউরি দেওয়া,"আত্মগোপন,লুকিয়ে থাকা"
আউল খাউল,"আজেবাজে, বিশৃঙ্খলা"
আউলা পাগলাটে,দুক্ষে-শোকে বিপর্যস্ত
আউলা আউলি,ইতস্তত ছোটাছুটি
আউলাই,এলোমেলো
আউলাইয়া,ওলট-পালট করা
আউলা মারা,যদৃচ্ছা আচরণ
আউলি,এলোমেলো
আউলিয়ে,এলোমেলো
আউস,সূতা
আউসকা,"অদ্য, আজ"
আউসে,সূতায়
আউড়ামি,"বোকামি,বেয়াড়াপনা"
আউংলা,আঙ্গুল দ্বারা আঘাত করা
আউংশা আউংশি,"হিংসে,রেষারেষি"
আঐকতা,অসময়েে ফল বা সফল জন্মানো
আও,"এসো, আসো"
আওইসা,অমাবস্যা
আওইসায় পয়দা,"মিথ্যাবাদী, বেজন্মা"
আওগিয়া,"এসো গিয়ে, অগ্রসর হয়ে"
আওচা,হালের পাক বা ঘের
আওথাও,এই সেই
আওবাও,কাণ্ডজ্ঞান
আওর,"হাওর, বিল, জলাভূমি"
আওরা,"আড়াল, পর্দা"
আওরোর,হাওরের
আওলা ঘুরা,ভবঘুরে
আওলা,হাওলা
আওলাদ,বংশধর
আওলি,"প্রাসাদ,দালান,হাবেলী"
আওশা ব্যাওশা,বিবাহ উপলক্ষে প্রেরিত মিষ্টি ইত্যাদির ডালা
আওসা,অপরিষ্কার
আওয়া,"হাঁস (পুং),হাসি"
আওয়াআয়ি,হাসাহাসি
আওয়ার,আসবার
আওয়ালে,প্রথমে
আওয়ৈ অতিত,"অভ্যাগত, মেহমান"
আওড়ে আওড়ে,আড়ালে
আওড়োর,আড়ালের
আওহাও,এই সেই
আঁক,রেখা
আকতা,হঠাৎ
আকরানো,শরীরের কোনো অংশ অবশ হওয়া
আকরা হাকরা,মিথ্যাবাদী
আকল,"জ্ঞান, বুদ্ধি"
আকলনামা,আক্কেল সেলামি
আকলফুয়াম,বুদ্ধি
আকলবন,বুদ্ধিমান
আকলবন্দে,আকলমন্দে
আকলবাজ,চতুর
আকলি বিকলি,কষ্ট করে
আকলি বিকলি বায়,চেষ্টা করে
আকলে পছন্দে,বুদ্ধি বিবেচনায়
আক্কল গুম,হতভম্ব
আকত,আকদ
আকাল,দুষ্প্রাপ্যতা
আকালি,বুদ্ধি
আকাঠা,দুষ্টু
আকাতুনি,অত্যন্ত
আকামে,বিনা কাজে
আকার,মাচাং
আকুটলামি,দুষ্টুমি
আখআখি,দুষ্টু
আখতা,"হঠাৎ, অকথ্য,অশ্রাব্য"
আখবাইয়া বাখবাইয়া,অভিশাপ দিয়ে
আখরা,"বোকা, হাবা"
আখরানি,বদদোয়া
আখরা বাখরা,"অপরিষ্কার, আকাঁড়া"
আখরি যাওয়া,"অসাড়, জমে যাওয়া"
আখল খুহাম,বুদ্ধি বিবেচনা
আখল সয়াম,বুদ্ধি বিবেচনা
আখাটা,"মন্দ কাঠ, অশ্রাব্য, কলহপ্রিয়,অসভ্য"
আখাপাখা,অহংকা্র
আখামাখা,অবিবেচক
আখি,"গিঁট, আঁকশি"
আখিম,হাকিম
আখুনদা,দুঃসাহসী
আখের,শেষ
আগ,"প্রথম, অগ্রভাগ"
আগপাতা,কলাপাতার অগ্রভাগ
আগছালা,বারান্দা
আগছে,মলত্যাগ করেছে
আগছেবা,"খণ্ড মেঘের ছায়া,মেঘাচ্ছন্নতা,আবছায়া"
আগদ সাগদ,শেষ মীমাংসা
আগদুয়ার,সামনের দরজা
আগতনে,আগে থেকে
আগনমাইয়া,অগ্রাহায়ন মাসের
আগনি,"আগুন,অগ্নিকোণ"
আগপর,অগ্রপশ্চাৎ
আগবা,পায়খানা করবে
আগর,আগ্রহ
আগর জবানা,আগের জমানা
আগরটা,আগেরটি
আগরম বাগরম,অসম্বন্ধ বাক্য
আগরা,মুখের গহ্বর
আগরাই,অভিমা্ন
আগরি,অগ্রিম
আগলডাইয়া,বাচাল
আগলডাইয়ামি,আগে আগে কথা বলা
আগলফরাদি,কথা শেষ হয়ার আগে কথা বলা
আগনি,আগুন
আগা,অগ্রভাগ
আগাগুড়ি,অগ্রপশ্চাৎ
আগাগুুড়ি লেইন মুড়ি,"লেজ-মাথা, অগ্রপশ্চাৎ"
অগাডগা,"বোকা, হাবা"
আগানি,বাঁশের অগ্রভাগ
আগানো,আহলাদ প্রকাশ করা
আগাম ডিগামো,যদৃচ্ছা আচরণ
আগামাতা,"মূল্য,হদিস"
আগারো,বাইচ নৌকার গলইর লোক
আগালে মাতালে,একপ্রান্ত থেকে অন্য প্রান্ত পর্যন্ত
আগিলেনসা,অতি চঞ্চল
আগিলেনসামানা,অতি চঞ্চলপনা
আগুন থাবানি,আগুন পোহানো
আগুলতায়নু,ফেরানোর জন্য
আগুসি,রোধ করা
আগুলিয়া,আগলে বা আড়াল করে
আগুয়াইয়া,এগিয়ে
আগেদিও,সামনে্র দিকেও
আগেমুতে,মলমূত্র ত্যাগ করে
আগোলাকান,আগের মতো
আঘোরা,মুখমন্ডল
আচনকা,আশ্চর্য
আচম্বিত,হঠাৎ
আচরা,"আঁচড়ানো, সাহায্য"
আচার,কোদাল
আচি,হাঁচি
আছইন,আছেন
আছমান,আসমান
আছলা,ছিলেন
আছানকাথা,হতবাক
আছারতুলি,আছাড় দিয়ে
আছিল,ছিল
আছিয়ালো,প্রস্রাবের স্থান
আছিয়ালো্র খাল,ময়লার নালা
আজর,কষ্ট
আজমুদ্দার,পরীক্ষায়
আজমাইস,পরীক্ষা
আজাইর,অবসর
আজাগরি পেট,অজগরের মত পেট
আজানি,বন্ধ করা
আজার,হাজার
আজার,রোগ-শোক
আজাইয়া,"বন্ধ কর,ভিড়িয়া রাখা"
আজারটা,হাজারটা
আজারি,কর্মহীন
আজি,হাজি
আজিকু,"আজ,আজকে"
আজিব,অদভুত
আজুরা,মজুরি
আটক মটক,"লজ্জা, সংকোচ"
আটকাইল,আটকানো
আটকুরা,সন্তানহীন
আটট,আরেকটু
আটপড়ি,আটপৌরে
আটা আদর,অভ্যর্থনা
আটাই,একদিকে সরিয়ে রাখা
আটাইল কাউরি,যে  বক গরুর ঘা ঠুকরায়
আটাইয়া,"আটকিয়ে, কষিয়ে"
আটাইয়ে,গুটিয়ে
আটাউটি,হাতঁটাহাঁটি
আটাপোটি,বাঁধা নিষেধ
আটাপোটটি,কড়াকড়ি
আটালিয়া,গোখরা সাপ বিশেষ
আটালো,বক জাতীয় পাখি
আটাশি,গোখরা সাপ
আটু,"হাঁটু, ধান চাল মাপার বাঁশ বা বেতের তৈরি বড় ঝুরি"
আটুয়িমা,হাঁটুু পর্যন্ত
আটি,"হাঁটি ,পাড়া, গলি"
আটিবান্ধা,আটিযুক্ত
আটিবিটি,হাত-পা গুটিয়ে
আটোন,"নির্মাণ, তৈরি"
আঠলে,পথ ধরলে
আঠাইল,"এঁটেল, আঠালো,গরুর গায়ের আঠালি"
আঠেটাউকে,তেজোবীর্যে
আঠোটক্কা,অকস্মাৎ
আডর,আদেশ
আড্ডি,হাড়
আড্ডিগুড্ডি,হারগোড়
আত,"হাত,হস্ত,পিত্তথলি"
আত্তা,একহাত
আতনতরাই,তাড়াহুড়ো
আতনযতন,সেবা শুশ্রূষা
আতপাত,এদিক সেদিক
আতরখৈল,সবসময় যাকে কাজে পাওয়া যায়
আত্তিওর,যন্ত্রাদি
আত্তিওরখৈল,সবসময় যাকে কাজে পাওয়া যায়
আতপাত,এদিক ওদিক
আতপাানি,যে জমিতে সহজে পানি সেচ দেয়া যায়
আতরা,পৃথক
আতরুয়া,হাতুড়ি
আতরি ঘর,আতুঁর ঘর
আত লইয়া,হাতে নিয়ে
আতলা,কলসী রাখার উচুস্থান
আতলা খাটা,কৈ মাছের তরকারি
আতা,"হাতা ,হাতল"
আতাআতি,হাতাহাতি
আতাই,"পেটুক,হাত স্পর্শ করে"
আতাইন্না,যে খালি হাতে মাছ ধরতে পারে
আতাইবায় না,হাত দিবেন না
আতাই বুতাই,এলোমেলো
আতাইর পাতাইর,এদিক সেদিক
আতাইলে,হাত বুলালে
আতাওরা,যে খালি হাতে মাছ ধরে
আতানি,হাত দেয়া
আতা্নো,হাত দিয়ে মাছ ধরা
আতাপিতি,সকলে মিলে
আতাব,সূর্য
আতাবেড়ি,বেড়ি
আতাভুতা,বোধহীন
আতামালা,আগুন তোলার জন্য হাতাবিশিষ্ট নারিকেলের মালা
আতালবাতাল,উৎপাত
আতাল বিতাল,অশান্তিময় কাজ
আতালযাতাল,"অযথা, দোষারোপ"
আতালাবরি,ছোটখাট চুরি
আতাড়ে পাথাড়ে,এলোপাতারি
আতি,হেঁচকি
আত্তি,হাতি
আতিয়ার,হাতিয়ার
আতুবুতু,কিংকর্তব্যবিমূঢ় অবস্থা
আতুঁর,পঙ্গু
আতুরা,হাতুড়ি
আতে ধরিয়া,হাতে ধরে
আতেবার,হাতিয়াার
আতো,হাতে
আতোর,অস্ত্র
আতোশ,ভয়ংকর টক
আথলি,মুরগির ওমের ঝুড়ি
আথাই পিথাই,নড়াচড়া করে
আথাইল,ছোট কাঁকড়
আথাইল গারিয়া,অলস
আথাইয়া পিথাইয়া,সেবা শুশ্রূষা করে
আথানো,হাত বুুলানো
আথারি পাথারি,অনাত্মীয়
আথারে পাথারে,বিশৃঙ্খলা
আথালাবরি,চুরি
আথাইলা,কলসী রাখা্র স্থান
আথরা,হাতুড়িি
আথোহিথান,হাতে শিয়র
আ'দ,প্রার্থনা
আদখানি,গর্ভবতী
আদ্দাবাদ্দা,গৃহহীন
আদনা,সামান্য
আদাওতি,শত্রুতা
আদাখান,অর্ধেক
আদাগদা,অপদার্থ
আদাজামির,বড় টক লেবু
আদাতর,যে গরু বা মহিষের দাঁত উঠেনি
আদানা,ছোট
আদাম,কর্মবিমুখ
আদামাদা,দায়সারাভাবে
আদি,নামাজের ছোট পাটি
আদিখলা,অদৃষ্টপূর্ব
আদিলকা,অহংকার
আদিলকিলা,অহংকারী
আদিয়া,অর্ধেক
আদিলা,লোভী
আদুতি,আধপাকা
আদুমচুদুম,"যাচ্ছেতাই,বাজে"
আদুমদুদুম,"যাচ্ছেতাই,বাজে"
আদেরা,এলোমেেলোভাবে কাজ করা
আদোরিদ,প্রচুর
আদৈয়া,"আসল,আদত"
আধাউছলি,অসম্পূর্ণ
আধাাছাদা,অসম্পূর্ণ
আধেলকা,আশ্চর্য
আনইন,নিয়ে আসেন
আনকুপ,অনুন্নত
আনকুয়া,নিয়ে আসেন
আনকেনে,মলিন কেন
আনগরা,বোকা
আনচল মুছানি,আঁচল দিয়ে মুখ মুছে দেয়া
আনছনি,এনেছ কি
আনছইন,এনেেছেন
আনছলু,এনেছিলাম
আনছিলাম,এনেছিলাাম
আনছোনাই,অশ্রুতপূর্ব
আনজা আনজি,কোলাকুলি
আনটি,"আংগুটি,আবদার"
আনতাজ,অনুমান
আনতাজে,অনুমা্নে
আনতাজি,অনুমানে বলা
আন্দর,ভিতর
আন্দাইর,অন্ধকার
আন্দাইর গুন্দাইর,অন্ধকারে
আন্দাগুন্দা,অন্ধভাবে
আন্দারি,পুরবাসিনী
আন্দেশা,দুশ্চিন্তা
আন্দেশার উনরে,দুশ্চিন্তার ইঁদুরে
আনদু পুকইর,ভরাট ও পরিত্যক্ত পুকুর
আনদুুয়া,"মজা, শুকনা"
আনদুয়ি,চোখের পর্দা
আনদি,পরিধি
আনদি গুনদি,এলো্পাথাড়ি
আনবায়,আনবে
আনবায়নি,আনবেন নাকি
আনবোলা,বোবা
আনমান,অবস্থামত
আনমিলা,দুষ্প্রাপ্য
আনযি,হুক্কা লটকিয়ে রাখার আংটা
আনরা,আনবেন
আনরি,অন্ধকার
আনরি আনরি,অন্ধকার ভাব
আনসান,আনচান
আনা,"বিনা, ছাড়া, আয়না"
আনাইয়া,ইনিয়ে-বিনিয়ে
আনাইয়া বিনাইয়া,অনুনয় বিনয় করা
আনাখাইয়া,না খেয়ে
আনাজ,শাক-সবজি
আনা দেখিয়া,না দেখে
আনাতেলে,তৈল বিহীন
আনাম,সম্পূর্ণ
আনামত,আনামত
আনামাতি,কিছু না বলে
আনেআন,সন্ধানী দৃষ্টিতে
আনেআনে,এদিক সেদিক
আনেগরে,গড়ে
আনেবানে,স্থানে অস্থানে
আনুক্কা,কদাচিৎ পাওয়া
আনুয়া গাং,মরা নদী
আন্ধু,মিছামিছি
আন্ধুু ধুন্ধু,মিছামিছি
আনোয়ার,ডালিম ফল বিশেষ
আবুইদ্দা,ছোট ছেলে-মেয়ে
আপথে,বিপথে
আপনে,আপনি
আপটিনি,পালক
আপতয়ালি,আত্মসাৎ করার ইচ্ছা
আপ্তাব,সূর্য
আপরা তাপরা,রোগ-শোক
আপরে,অসাক্ষাতে
আপরুপ,উগ্র
আপরোখা,নির্ভরশীল
আপলাতুন,জালিম
আপসে,নিজে নিজে
আপাং,লতা জাতীয় ছোট ঘাষ
আপাংরা,বোকা
আপাঙ্গাল,জঞ্জাল
আপানজাল,বিপদ
আপানজালি,ঝামেলাকারী
আপাতনা,ভাগ্যহীন
আপালি,আকালের সময় যার জন্ম
আপুতা,পুত্রহীন
আপুসলা,অবহেলিত
আপোই বাপোই,শোরগোল
আফতে,বিপদে
আফদে,বিপদেে
আফরকে,অগোচরে
আফরা,ভূত
আফরে,অনায়াসে
আফসে,আপনা থেকে
আফাযাল,মুখ খোলা জাল
আফাল,প্রবল বাতাস
আফেরতা,অসহায়
আফুলা,যে গাছ ফল বা ফুল দেয়না
আবকতারি,আবোল তাবোল
আবগা,বোকা
আবন,শিশুকন্যা
আবর,অবসর
আবরতে,আড়ালে
আবরা,বোবা (পুং)
আবরী,বোবা (স্ত্রী)
আবরি,খুব ছোট
আবলা,এখন
আবযাদি,অতি পুরোন ও বড়
আবযুশ,প্রাথমিক জাল
আবশ্যা,অমাবস্যা
আবা,জামা
আবাগত,প্রার্থনা
আবাগ্যা,অভাগা
আবাগি,অভাাগিনী
আবাদি,বহিরাগত
আবাদে আসাদে,সত্য মিথ্যায় জড়ানো
আবান্তর,সংবাদ
আবাপু,জারজ
আবাপুুফুঙ্গা,যার কথার কোন মুল্য নেই
আবিতা,অবিবাহিত
আবিতা মুরব্বি,অল্পবয়সী মুরব্বি
আবিরদি লেপা,আবিরের প্রলেপ
আবিয়াতা,অবিবাাহিত
আবুধিয়া,অবোধ
আবু বেটু,প্রাণপনে
আবুল তাবুল,আজেবাজে কথা
আবুলি কুবুলি,আজেবাজে কথা
আবেললা,আপদ
আবেস্তা,অবস্থা
আবো,এখনো
আবোনায়,এখনো নয়
আভু,ডাটা
আভুুকিলায়,ক্ষুধাহীনে
আম,দুর্বল
আমআম,ঘোরাফেরা
আমআমি,দাপাদাপি
আমখইর দেওয়া,হামাগুরি দেয়া
আমচা,প্রচুুর
আমছইল,উৎপাত
আমদা,বেশি
আম্মক,আহাম্মক
আম্মত করি,হাউমাউ করে
আমনা শামনা,মুখোমুখি
আমল,বিচার
আমার বায়,আমার দিকে
আমরার,আমাদের
আমল,চরিত্র
আম্বার,বেশি
আমবারি,হাওদা
আম্মতকরি,উচ্চস্বরে
আম্মাত্তি,হঠাৎ
আম্মামি করা,ইচ্ছা  হওয়া
আমরা,কচু
আমরা আমরি,আজেবাজে
আমলদার,সচ্চরিত্র
আমলা,টক
আমলি,সময়ের
আমশি,কিছুুই না
আমসইল,গোলমাল
আমড়ানো,ডাকা
আমাঠাইন,আমার কাছে
আমারেনি,আমাকে কি
আমাসামা,সাধারণ লোক
আমি,আমসি
আমিল,গর্ভ
আমিলদার,গর্ভবতী
আমিলা,যা মিলে না
আমুয়ানি,বিড়বিড় করা
আমারো,আম গাছের লাকড়ি
আয়,আসো
আয় উতাশ,হাহুতাশ
আয়নোর গয়নোর,অহংকারের
আয় পায়,আশেপাশে
আয় বায়,অন্য দিকে
আয়জায়,যাওয়া আসা করে
আয়াযায়া,নির্ঘাত
আয়া দায়া,নিশ্চিত
আয়িদা,মৌসুম
আয়ুত,জিদ
আয়ুক্কা,আসুন
আযল,ভাগ্য
আযদামারা,প্রকার
আযনবি,অপরিচিত
আযলানো,ভেংচি দেওয়া
আযানো,আশ্রয় নেয়া বা দেয়া
আযুলা,বোকা
আযুলি,হাবা মেয়ে
আর,হার
আরই,বলা
আরকটা,আরেকটা
আরকা মারকা,বাইরে ভিতরে
আরককতা,অন্য কথা
আরখানো,অন্যস্থানে
আরগু,অন্যগুলো
আরগগু,আরও একটা
আরগুয়া,একরোখা
আরচউখ,কুনজর
আরছি,পরাজিত হয়েছি
আরতি,কমতি
আরপথে,অন্য পথে
আর বনাপ,মতানৈক্য
আর বাদা,ঘরের চালের রুয়া
আরবার,আবার
আরবাায়,অন্যদিকে
আরম,বেড়া আটকানোর উপকরণ
আরমনি,হারমোনিয়াম
আরমভিত,শুরু
আরমুখা,অন্যদিকে
আরলানো,উল্টা পালটা করা
আরা,আসছেন
আরাই,পরাজিত করে
আরাইলে,হারা'লে
আরান,বাঁকা করা
আরান বারান,দুঃখ কষ্ট
আরান বা্রানে,অতি কষ্টে
আরানো,হারানো
আরাম,আসছি
আরাষ ফারাষ,ছড়াছড়ি
আরাং,মঞ্চ
আরিজার,হারিয়ে যাচ্ছে
আরি,প্রতিবেশী
আরি ফরি,প্রতিবেশী
আরির খবর,গোপন কথা
আরে মাংশে,মান ইজ্জতে
আরুলগজা,বোকা
আরুয়া,বোকা
আ'রে,পরাজিত হয়
আরো,এখনো
আরোক হেঙ্গার,দ্বিতীয় বিবাহের
আল,জমির পরিমাণ বিশেষ
আলওয়ালা,হালওয়ালা
আলগছ,হালকাভাবে
আলগড়া,কৃষি কাজের জন্য অস্থায়ী ঘর
আলগা,আলাদা
